loan_id,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,origination_month
L_0000,330900.0,6.03,<640,<60%,30-40%,GA,Purchase,Secondary,Condo,Servicer D,2023-03-30
L_0001,763000.0,2.96,760+,60-80%,<20%,FL,Refinance,Primary,Single Family,Servicer B,2023-01-22
L_0002,599000.0,3.39,700-759,<60%,30-40%,GA,Refinance,Secondary,Single Family,Servicer D,2023-04-02
L_0003,499000.0,7.44,760+,<60%,30-40%,IL,Purchase,Investment,Single Family,Servicer D,2023-01-29
L_0004,167000.0,5.84,640-699,<60%,20-30%,CA,Purchase,Primary,Single Family,Servicer D,2023-01-13
L_0005,167000.0,2.55,760+,60-80%,30-40%,OH,Purchase,Primary,Single Family,Servicer B,2023-01-02
L_0006,93600.0,3.06,640-699,60-80%,>40%,IL,Refinance,Investment,Single Family,Servicer D,2023-01-29
L_0007,699600.0,6.15,<640,60-80%,>40%,PA,Cash-out Refinance,Primary,Single Family,Servicer C,2023-06-29
L_0008,500800.0,2.53,760+,60-80%,20-30%,PA,Refinance,Secondary,Condo,Servicer A,2023-01-27
L_0009,581100.0,3.38,<640,80-90%,<20%,GA,Purchase,Primary,Townhouse,Servicer A,2023-02-19
L_0010,65400.0,5.52,640-699,<60%,>40%,NC,Refinance,Primary,Single Family,Servicer D,2023-04-05
L_0011,777400.0,6.31,760+,80-90%,30-40%,TX,Purchase,Secondary,Single Family,Servicer A,2023-05-31
L_0012,674300.0,6.09,760+,80-90%,<20%,NC,Refinance,Primary,Single Family,Servicer B,2023-03-29
L_0013,209300.0,3.73,700-759,<60%,>40%,MI,Purchase,Primary,Single Family,Servicer B,2023-02-13
L_0014,186400.0,6.42,700-759,80-90%,>40%,NC,Refinance,Primary,Single Family,Servicer A,2023-01-22
L_0015,187600.0,3.8,700-759,>90%,20-30%,MI,Purchase,Primary,Single Family,Servicer B,2023-06-20
L_0016,278200.0,4.29,640-699,<60%,30-40%,MI,Cash-out Refinance,Primary,Single Family,Servicer A,2023-06-14
L_0017,443600.0,6.61,640-699,60-80%,20-30%,OH,Purchase,Primary,Single Family,Servicer A,2023-04-07
L_0018,374000.0,6.07,700-759,80-90%,<20%,CA,Refinance,Investment,Single Family,Servicer A,2023-01-03
L_0019,268400.0,7.17,760+,80-90%,20-30%,OH,Cash-out Refinance,Primary,Single Family,Servicer D,2023-04-28
L_0020,508900.0,6.12,760+,<60%,30-40%,MI,Purchase,Primary,Multi-family,Servicer A,2023-01-19
L_0021,154600.0,5.63,760+,60-80%,<20%,IL,Cash-out Refinance,Primary,Single Family,Servicer D,2023-01-23
L_0022,269100.0,3.02,<640,60-80%,20-30%,PA,Refinance,Secondary,Single Family,Servicer A,2023-06-06
L_0023,324800.0,4.52,700-759,60-80%,20-30%,MI,Purchase,Primary,Single Family,Servicer A,2023-01-30
L_0024,392100.0,3.96,<640,80-90%,20-30%,OH,Purchase,Investment,Single Family,Servicer A,2023-02-08
L_0025,638900.0,3.84,700-759,60-80%,>40%,IL,Refinance,Primary,Condo,Servicer B,2023-04-18
L_0026,199800.0,7.85,700-759,60-80%,20-30%,OH,Purchase,Primary,Single Family,Servicer D,2023-04-21
L_0027,435700.0,4.66,760+,80-90%,20-30%,NC,Purchase,Primary,Multi-family,Servicer D,2023-01-25
L_0028,494300.0,7.41,640-699,<60%,30-40%,FL,Purchase,Primary,Single Family,Servicer A,2023-05-08
L_0029,84800.0,5.97,<640,60-80%,20-30%,GA,Refinance,Primary,Single Family,Servicer A,2023-04-21
L_0030,505700.0,6.87,<640,80-90%,20-30%,TX,Purchase,Primary,Condo,Servicer B,2023-05-16
L_0031,177900.0,5.26,760+,80-90%,20-30%,OH,Refinance,Secondary,Single Family,Servicer B,2023-04-16
L_0032,98800.0,5.67,700-759,60-80%,<20%,TX,Cash-out Refinance,Primary,Single Family,Servicer B,2023-05-24
L_0033,761700.0,5.21,<640,60-80%,<20%,NY,Cash-out Refinance,Primary,Single Family,Servicer D,2023-03-13
L_0034,774200.0,3.57,<640,<60%,20-30%,OH,Refinance,Primary,Single Family,Servicer D,2023-05-09
L_0035,656300.0,6.47,700-759,60-80%,20-30%,FL,Purchase,Secondary,Townhouse,Servicer D,2023-04-18
L_0036,278500.0,4.04,<640,60-80%,>40%,TX,Refinance,Primary,Single Family,Servicer A,2023-01-05
L_0037,123300.0,2.63,760+,60-80%,20-30%,MI,Purchase,Primary,Single Family,Servicer D,2023-01-03
L_0038,563200.0,6.05,700-759,60-80%,30-40%,OH,Purchase,Primary,Single Family,Servicer C,2023-05-12
L_0039,380100.0,3.47,<640,60-80%,30-40%,CA,Purchase,Secondary,Single Family,Servicer C,2023-04-14
L_0040,141500.0,7.67,<640,<60%,<20%,GA,Purchase,Primary,Single Family,Servicer B,2023-03-05
L_0041,421400.0,7.75,760+,60-80%,30-40%,FL,Refinance,Primary,Single Family,Servicer D,2023-04-16
L_0042,75800.0,7.53,640-699,60-80%,<20%,TX,Refinance,Secondary,Single Family,Servicer C,2023-04-08
L_0043,732000.0,4.54,640-699,60-80%,>40%,FL,Purchase,Secondary,Condo,Servicer B,2023-01-10
L_0044,244100.0,2.59,760+,<60%,<20%,IL,Purchase,Primary,Single Family,Servicer D,2023-05-29
L_0045,546900.0,7.61,760+,80-90%,20-30%,GA,Cash-out Refinance,Secondary,Single Family,Servicer A,2023-05-08
L_0046,283800.0,4.86,760+,60-80%,<20%,MI,Purchase,Primary,Townhouse,Servicer C,2023-02-15
L_0047,440100.0,7.82,760+,80-90%,>40%,OH,Purchase,Primary,Single Family,Servicer A,2023-06-04
L_0048,460000.0,7.8,640-699,80-90%,20-30%,OH,Purchase,Primary,Single Family,Servicer D,2023-03-07
L_0049,188600.0,7.19,<640,60-80%,30-40%,OH,Refinance,Primary,Single Family,Servicer C,2023-06-18
L_0050,777200.0,4.12,760+,<60%,<20%,GA,Refinance,Primary,Single Family,Servicer D,2023-04-22
L_0051,631300.0,4.62,700-759,60-80%,30-40%,CA,Purchase,Investment,Single Family,Servicer A,2023-01-13
L_0052,754600.0,7.18,700-759,60-80%,20-30%,NY,Purchase,Primary,Multi-family,Servicer C,2023-05-17
L_0053,721100.0,4.24,760+,80-90%,>40%,PA,Refinance,Primary,Single Family,Servicer A,2023-06-13
L_0054,498400.0,3.43,<640,60-80%,20-30%,NC,Refinance,Primary,Single Family,Servicer D,2023-03-27
